 ln(N)           ln(<R^2>)
   0.00000000       0.00000000    
  0.693147182      0.693147182    
   1.09861231       1.13783300    
   1.38629436       1.41098690    
   1.60943794       1.58514524    
   1.79175949       1.75785792    
   1.94591010       1.94591010    
   2.07944155       2.11866212    
   2.19722462       2.28238249    
   2.30258512       2.38692617    
